# 3GPP TR 38.821 link-budget reference values (Tables 6.1.3.1-1..6.1.3.4-1)
# Roadmap §4.4.11 calibration corpus.
#
# Columns:
#   scenario_id    : A1..D2 per scenarios.csv
#   elevation_deg  : assumed elevation (degrees above horizon)
#   pathloss_db    : free-space + atmospheric + scintillation per TR
#   shadowing_db   : log-normal shadow margin
#   atmos_loss_db  : ITU-R P.676 gaseous + P.838 rain @ 0.1% availability
#   antenna_gain_dbi : sat side antenna gain on-axis
#   cnr_db         : reference C/N
scenario_id,elevation_deg,pathloss_db,shadowing_db,atmos_loss_db,antenna_gain_dbi,cnr_db
A1,90,189.3,3.0,0.1,30.0,8.6
A1,40,191.5,3.0,0.4,30.0,8.6
A1,10,194.0,3.0,1.7,30.0,8.6
A2,90,209.3,3.0,0.4,38.5,15.4
A2,40,211.5,3.0,1.6,38.5,15.4
A2,10,214.0,3.0,6.8,38.5,15.4
B1,90,160.8,3.0,0.1,24.5,3.0
B1,40,170.4,3.0,0.4,24.5,3.0
B1,10,179.8,3.0,1.7,24.5,3.0
B2,90,180.8,3.0,0.4,33.0,4.0
B2,40,190.4,3.0,1.6,33.0,4.0
B2,10,199.8,3.0,6.8,33.0,4.0
C1,90,154.8,3.0,0.1,24.5,3.5
C1,40,166.6,3.0,0.4,24.5,3.5
C1,10,179.1,3.0,1.7,24.5,3.5
C2,90,174.8,3.0,0.4,33.0,4.5
C2,40,186.6,3.0,1.6,33.0,4.5
C2,10,199.1,3.0,6.8,33.0,4.5
D1,90,178.3,3.0,0.4,33.0,9.5
D1,40,189.6,3.0,1.6,33.0,9.5
D1,10,202.6,3.0,6.8,33.0,9.5
D2,90,184.3,3.0,0.4,33.0,8.0
D2,40,194.7,3.0,1.6,33.0,8.0
D2,10,203.3,3.0,6.8,33.0,8.0
